transactiondate,terminalid,terminalname,projectname,celebration,location,transactionid,amount
01/01/2026 09:00:27,25d34c3e4038ac14,6 Notre-Dame,,Messes,Notre-Dame,c609087c-aa92-4e1b-87db-322a716263a6,2
01/01/2026 09:01:09,25d34c3e4038ac14,6 Notre-Dame,,Messes,Notre-Dame,25cd730f-3d93-442d-b920-b30137bf1f98,5
01/01/2026 09:02:40,e0d4a5777d03dfa2,9 Villamblard,,Messes,Saint-Pierre,773dc524-ffbb-45e3-9742-522e7b7e7864,5
01/01/2026 09:03:22,25d34c3e4038ac14,6 Notre-Dame,,Messes,Notre-Dame,fcee3644-1b82-4c6a-95db-ac85cd616ec7,10
01/01/2026 09:05:38,adca6d6c545e7b59,4 Notre-Dame,,Messes,Notre-Dame,ae7ef52c-7c9d-4f21-a44a-3b8100e8cafd,5
01/01/2026 09:07:21,e0d4a5777d03dfa2,9 Villamblard,,Messes,Saint-Pierre,fd07c8a3-fbc7-4c5b-93d4-f27ddc567d27,5
01/01/2026 09:08:30,97dddccf948bd1d6,5 Notre-Dame,,Messes,St-Jacques,21eb81df-df19-417e-99b0-a9bac5b23ab3,5
01/01/2026 09:10:09,25d34c3e4038ac14,6 Notre-Dame,,Messes,Notre-Dame,cbf471ee-9554-4e7d-9c68-f31d4c0637da,5
01/01/2026 09:13:03,adca6d6c545e7b59,4 Notre-Dame,,Messes,Notre-Dame,216ab2fd-bcfe-4f95-aec8-46fe90d872c9,5
01/01/2026 09:16:10,adca6d6c545e7b59,4 Notre-Dame,,Messes,Notre-Dame,1b5a2f1e-9929-463d-aef6-cd69ebbce4cd,15
01/01/2026 09:16:57,d4955d6fa679ddaa,10 Villamblard,,Messes,Saint-Pierre,1180c5d7-a4f2-4521-bc84-62472139885c,10
01/01/2026 09:18:46,25d34c3e4038ac14,6 Notre-Dame,,Messes,St-Jacques,81db1d40-7286-447b-83c2-cd2c5ca7f3a1,10
01/01/2026 09:29:01,885e69ea1971ea7c,8 Notre-Dame,,Messes,Notre-Dame,c7b1aa8b-6de6-43e0-b4a0-c8ca5fa6f94f,10
01/01/2026 09:33:57,e0d4a5777d03dfa2,9 Villamblard,,Messes,Saint-Pierre,250b9795-33e9-4374-8742-b0766564894d,10
01/01/2026 09:37:38,97dddccf948bd1d6,5 Notre-Dame,,Messes,Notre-Dame,6eb198a5-975c-4af0-84d3-c4f0ab06da09,5
01/01/2026 09:38:54,d4955d6fa679ddaa,10 Villamblard,,Messes,Saint-Pierre,5b916d67-d398-480a-8dba-e1bc06a2699b,15
01/01/2026 09:39:28,25d34c3e4038ac14,6 Notre-Dame,,Messes,St-Jacques,dd390c2e-facb-4a60-8559-2b08b9899865,5
01/01/2026 09:43:55,97dddccf948bd1d6,5 Notre-Dame,,Messes,Notre-Dame,e9966e13-9daa-43f1-b9b7-cf8ab843b074,4
01/01/2026 09:45:56,25d34c3e4038ac14,6 Notre-Dame,,Messes,Notre-Dame,1873c82a-bf39-423c-9f45-782477389912,10
01/01/2026 09:46:08,885e69ea1971ea7c,8 Notre-Dame,,Messes,Notre-Dame,a3ed2d1e-680f-4c48-bf77-ba57449309f9,5
01/01/2026 09:47:16,982951f5f61d01b6,7 Notre-Dame,,Messes,Notre-Dame,13e7ba9e-2d54-4084-866c-043056fccbe4,2
01/01/2026 09:47:59,885e69ea1971ea7c,8 Notre-Dame,,Messes,Notre-Dame,8337968b-6cbf-405d-817c-ad118dd327a7,2
01/01/2026 09:59:23,885e69ea1971ea7c,8 Notre-Dame,,Messes,Notre-Dame,a09e957b-a9be-4222-8f51-0acea838b3cc,2
01/01/2026 10:05:29,25d34c3e4038ac14,6 Notre-Dame,,Messes,Notre-Dame,ce34a753-378f-4f9f-b632-c04b74152a9a,5
01/01/2026 10:05:43,e0d4a5777d03dfa2,9 Villamblard,,Messes,Saint-Pierre,7e9fa418-5f5e-474a-a88f-ee28ce6a522a,2
01/01/2026 10:08:19,61559316e08b9059,2 Borne SJ,Allumer un cierge SJ,,,6b271078-10b2-461d-8a8f-d6a121df2bfe,5
01/01/2026 10:14:08,d4955d6fa679ddaa,10 Villamblard,,Messes,Saint-Pierre,95b4cb75-d6d9-4609-b9ea-ae28b917b695,10
01/01/2026 10:17:38,97dddccf948bd1d6,5 Notre-Dame,,Messes,St-Jacques,612a467b-1038-408c-8f63-2c6e400cba0e,5
01/01/2026 10:18:13,885e69ea1971ea7c,8 Notre-Dame,,Messes,Notre-Dame,c7b557c5-5f13-4651-884b-cb9c1256b4a3,5
01/01/2026 10:21:36,d4955d6fa679ddaa,10 Villamblard,,Messes,Saint-Pierre,15ed31bd-a7ca-4fce-8b1a-55a58a10e974,10
01/01/2026 10:28:41,e0d4a5777d03dfa2,9 Villamblard,,Messes,Saint-Pierre,10433025-d19f-4aab-88f5-315dd95da6c6,4
01/01/2026 10:31:08,97dddccf948bd1d6,5 Notre-Dame,,Messes,Notre-Dame,ee689f32-81fc-4505-b4bf-b2f2787451cf,15
01/01/2026 10:31:36,adca6d6c545e7b59,4 Notre-Dame,,Messes,St-Jacques,fe5c86c4-54f6-4933-9c8d-8bdd2439b15f,4
01/01/2026 10:34:55,97dddccf948bd1d6,5 Notre-Dame,,Messes,Notre-Dame,4da08c49-9d5e-4b7d-b127-9443642206a2,2
01/01/2026 10:42:40,97dddccf948bd1d6,5 Notre-Dame,,Messes,Notre-Dame,1a23b10a-2a46-4450-a938-b95c97a46991,5
01/01/2026 10:47:13,885e69ea1971ea7c,8 Notre-Dame,,Messes,Notre-Dame,b78c1602-88a8-4300-aef5-5e25566ed552,5
01/01/2026 10:48:44,25d34c3e4038ac14,6 Notre-Dame,,Messes,St-Jacques,8dd5ced9-7357-4f6b-b97c-085a87650059,4
